address,area,city,hotel_description,hotel_facilities,hotel_star_rating,image_urls,latitude,longitude,property_name,property_type,room_area,room_count,room_facilities,room_type,state,tad_review_count,tad_review_rating,tad_stay_review_rating,room_price,occupancy,additional_info
"Malalli Cross, N Belathur, Antharasanthe, H.D. Kote",Kabini Backwater,Kabini,"Kaav Safari Lodge, Kabini is a luxury jungle hotel. The mile - long driveway through a lush wild jungle is the first hint that the lodge is no ordinary hotel. It impresses the moment one steps down to its imposing lobby. Being an amalgamation of luxury and local landscape, this classy resort is a great place to spend in. Alfresco dining, swimming pool and rejuvenating activities add to the pleasure.LocationThe resort is opportunely positioned at Malalli Cross. Guests can plan a visit to some nearby appealing tourist spots. To name a few, they are Nagarhole National Park (60kms), Wayanand Wildlife Sanctuary (62kms), Nilgiris Biosphere Reserve (55kms), Iruppu Waterfall (54kms), Mysore Palace (74kms) and St Joseph's Cathedral Church (40kms). Mysore Airport- 74kms (Approx.)Mysore Junction Railway Station- 73kms (Approx.)Beeramballi Bus Stop- 48kms (Approx.)FeaturesThe hotel serves its clientele with a startling list of facilities like common lounge, alfresco dining, swimming pool, barbecue on request and refreshing activities. The in house dining option is a gratifying venue to rely on a wide variety of scrumptious food and tempting beverages. It is an ideal place to unwind and have a revitalizing time with family and friends. The guests can also have a rejuvenating time while indulging in some refreshing activities like wildlife safari, jeep safari, boat safari, cycling, coracle ride, nature walk and birding. RoomsSingle Rooms, Double Rooms are the elegant accommodation options at the hotel. The rooms are gracefully furnished with the exclusive comforts and superlative luxuries. The rooms are packed with private decks, viewing deck, buffet breakfast and well designed attached bathroom.",Basics:Internet|Air Conditioning|Doorman|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Recreation:Kids Pool|Outdoor Swimming Pool|Water Sports|Travel:Travel Desk|Parking|Bus Parking|Outdoor Parking|Porter|Transportation Service|Personal Services:24 Hour Front Desk|Laundry|Room Service|No Category:Conference facilities|Business services|Front Desk|Hairdryers|Business Services:Audio Visual Equipment|LCD / Projector|Meeting Facility|Conference Hall|Meeting Room|Hotel Amenities:24-Hour Security|Boutique|Gift Shop|Basic Room Amenities:Wake-Up Call Service,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-06-48_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-00-23_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-01-59_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-03-49_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-08-20_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-01-27_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-04-36_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-05-12_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-05-35_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-05-58_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-07-35_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-00-58_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-02-58_PM_w.jpg|http://ui.cltpstatic.com/places/hotels/7087/708747/images/7-15-2013_5-03-23_PM_w.jpg,11.957905,76.249706,Kaav Safari Lodge,Guest House,14 X 14 Sq.ft.,4,Air Conditioning| Internet / Broadband| Iron| Safe | Ironing Board | Hair Dryer Newspaper Bedside Lamp Ceiling Fan Snack Basket Toiletries Express Laundry Service Hangers In-Room Electronic Safe Laundry Bag Rollaway Bed Table Lamp Windows Open Free Wi-Fi International Plug Point Bedside Controls | Shaving Kit | Private Bathroom Balcony / Sit Out Area Luggage Rack | Writing Desk / Study Table,Superior Room,Karnataka,158.0,5.0,Location::4.5|Rooms::5.0|Service::5.0|Value::4.5|Cleanliness::5.0|Sleep Quality::5.0,3167per night incl. tax,3 Adults 2 Kids,Room Service|Restaurant
"Prafulla Enclave, Halady Road, Kundapur Udupi",Kodi Beach,Kundapura,"Meridian Bay Resort & Spa is one of the Kundapura’s most luxurious and finest hotel. Well-equipped and lavish with modern facilities amidst sprawling greens, the Meridian Bay is the ideal home away from home.",Food &amp; Beverage:Bar|Restaurant|Coffee Shop|Lounge|Patisserie Shop|Business Services:Business Center|Convention Centre|Meeting Facility|Conference Hall|Meeting Room|Basics:Internet|Air Conditioning|Facility for Disabled Guest|Non-Smoking Rooms|Interconnecting Rooms|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Travel:Travel Desk|Parking|Free Parking|Porter|Valet Parking|Car Rental|Taxi Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Dry Cleaning|Recreation:Spa|Indoor Games|Outdoor Swimming Pool|Kids Play Area|Outdoor Games|Hotel Amenities:24-Hour Security|Concierge,4 Star hotel,http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-3_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-1_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-2_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-4_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/1_(1)_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-6_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-7_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-8_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-5_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-DeluxeRoom1-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-ClubRoom1-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-ClubRoom2-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-ClubRoom3-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-DeluxeRoom2-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-DeluxeRoom3-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-SuiteRoom1-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-SuiteRoom3-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-SuiteRoom2-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-SuiteRoom4-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-16_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-17_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-18_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/1_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-19_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Superior_room_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/MeridianBay-SuperiorRoom2-500x300_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-Bay-15_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Opera-gallery3-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Opera-gallery4-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Opera-gallery5-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Royal-Palm-gallery1-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Royal-Palm-gallery2-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Royal-Palm-gallery3-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-gallery5-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-gallery1-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Meridian-gallery2-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Minal-gallery1-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Minal-gallery2-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Opera-gallery1-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Opera-gallery2-800x480_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/11878960_491632567665948_7375662741126793565_o_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/12065521_508931029269435_791061112917892190_n_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/Shiva_Temple_w.jpg|http://ui.cltpstatic.com/places/hotels/9561/956176/images/UVA-Gallery6_w.jpg,13.593025,74.71324399999999,Meridian Bay Resort & Spa,Hotel,19 X 19 Sq.ft.,52,Air Conditioning| Television| Internet / Broadband| Mini Bar| Safe| Telephone | Hot Water | Hair Dryer Newspaper Mineral Water Fruit Basket Toiletries CD / DVD Player Flat Screen Television Mirror In-Room Electronic Safe Rollaway Bed Satellite Television Shower Guest Slippers Table Lamp Tea / Coffee maker Turn Down Service Free Wi-Fi Wooden Floor | Wake-Up Call Service | Private Bathroom Luggage Rack Sofa | Writing Desk / Study Table,Club Room,Karnataka,70.0,4.5,Location::4.0|Rooms::5.0|Service::4.5|Value::4.5|Cleanliness::4.5|Sleep Quality::5.0,815per night incl. tax,2 Adults 2 Kids,Room Service|Gym/Spa|Swimming Pool|Restaurant
"Toodalli Village, Yedthare Post, Shiroor Check Post, (right Turn), Via Baindoor, Kundapur Taluk",Kundapur,Kundapura,"Wild woods spa is a Botanical resort set on the NH 17 Highway, between Bangalore and Goa. It is nestled amidst the mountains of the Western Ghats of coastal Karnataka, India. The resort is a host for many endemic species of animals, such as Malabar giant squirrels and hornbills to name a few. Butterflies, birds, mammals are other species that have made their home at wild woods spa. Colourful flora is present at every nook and corner of the resort. A diverse environment makes this one of the most sought after biodiversity hotspots in India. Accommodation at wild woods spa are river facing giving you a splendid picturesque view of the hills nearby.",Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Basics:Air Conditioning|Express Check-Out,4 Star hotel,http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_0001_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_0029_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5329_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5340_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5351_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5359_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5373_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5375_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/R9073_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5347_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5365_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5312_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5319_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5326_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5394_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5395_w.jpg|http://ui.cltpstatic.com/places/hotels/4235/423549/images/IMG_5391_w.jpg,13.942948999999999,74.649429,Wild Woods Spa & Resort,Resort,12 X 15 Sq.ft.,10,Air Conditioning| Television| Telephone | Hot Water | Ceiling Fan Toiletries | Tea / Coffee maker | Balcony / Sit Out Area,1 Bedroom Villa with Plunge Pool,Karnataka,300.0,4.5,Location::4.5|Rooms::5.0|Service::4.5|Value::4.5|Cleanliness::5.0|Sleep Quality::5.0,1624per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Restaurant|Free Internet
"BH Road, Kandavara Village, Opp to Muncipal Water tank Kundapura, Udupi",Kundapur,Kundapura,"Pratham Inn & Resort is Surrounded by lush greenery it is strategically located in mid of paddy fields, coconut plantation & is surrounded by small lake & thick forest area. Following are the key elements of our resort.Luxurious & Economy rooms: The resort has 35 rooms, 8 rooms are ultra luxurious. All the rooms are designed with plush interior. You can get scenic view form window pane of any room. All rooms have Wi-Fi connectivity, room service, laundry Etc. Restaurant: The resort has its multi cuisine restaurant serving the ethnic costal food of costal Karnataka.Swimming Pool Along with Rides: 1st of its all kind in this region offering water games, rides for children and a proper family / corporate destination.Open Wedding Hall: The resort has a unique designed open hall to accommodate more than 2000 people at a time.GYM & SPA: A state of art facilities. Island tour & Natures Trial: The resort has its very own Island surrounded by calm river water. You will be welcomed by chattering birds & aroma of Mother Nature. We also have our customized Nature trial packages on the hilly terrain with the fusion of adventure sports to make it a perfect excursion trip. Exotic Home stay facility: we have unique ancient Manglorien houses with authentic wood carved walls& ceiling. A perfect stay to feel the simplicity of village & calm surroundings of river water.",Basics:Internet|Air Conditioning|Food &amp; Beverage:Restaurant|Coffee Shop|Recreation:Kids Pool|Personal Services:Room Service,3 Star hotel,http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg029_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg013_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg019_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg036_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg030_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg035_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg015_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg014_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg016_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg017_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg44_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg018_w.jpg|http://ui.cltpstatic.com/places/hotels/7432/743222/images/pg020_w.jpg,13.63216,74.736389,VITS Pratham Luxury Business Hotel & Water Park,Resort,675 X 675 Sq.ft.,35,Air Conditioning| Telephone | Television | Private Bathroom | Ceiling Fan,Super Deluxe Room,Karnataka,2.0,3.5,Location::0.0|Rooms::0.0|Service::0.0|Value::0.0|Cleanliness::0.0|Sleep Quality::0.0,3509per night incl. tax,1 Adult 2 Kids,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet
Near Kollur Mookambika Temple,Mookambika Temple,Kollur,"Aswathi Tourist Home, Kollur, Karnataka, greets its guests with a home-like ambience and heart-warming hospitality. Further, the simplicity of the rooms, beautiful surroundings and offering of essential amenities makes the stay stress-free.Location:Aswathi Tourist Home is located near Kollur Mookambika temple. Mookambika temple (Approx. 0.1km) and Sri Sri Nithyanada Mutt (Approx. 1km) are prominent religious shrines that are near the tourist home. One of the ancient shrines in India, Mookambika temple is known to have a sacred 'Siddi Kshetra'. Its verdant surroundings of huge mountain range and dense forests offer a scenic view. Mookambika Wildlife sanctuary, Balmuri Ganapati temple and Kodachadri hills are other interesting sites that are worth visiting in Kollur.Mangalore International Airport: 152 km (approx.)Byndoor Mookambika Road Railway Station: 35 km (approx.)Hotel Features:To enhance the comfort quotient, the essential amenities are provided to the guests. The basic amenities offered to the patrons are room service, 24-hour front desk, parking, 24-hour security and doctor-on-call. A vegetarian restaurant located within the premises serves tempting South Indian, North Indian and Chinese delicacies to the patrons.Rooms:Double room A/c and double room non A/c are the two room options offered to the patrons for accommodation. These rooms sport a simple decor and are fitted with facilities like colour television and telephone.",Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Basics:Air Conditioning|Doorman|Housekeeping|Doctor on Call|Travel:Airport Transfer|Parking|Free Parking|Hotel Amenities:24-Hour Security|No Category:Front Desk,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big1_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big9_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/drgdgdg_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big3_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big5_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big2_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big8_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big10_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/double_bed_w.jpg|http://ui.cltpstatic.com/places/hotels/7154/715488/images/AS_big7_w.jpg,13.868707,74.812729,Aswathi Tourist Home,Hotel,12 X 12 Sq.ft.,24,Television| Safe | Air Conditioning | Private Bathroom | Refrigerator,Double Room AC,Karnataka,16.0,2.0,Location::2.5|Rooms::2.5|Service::2.0|Value::2.5|Cleanliness::2.5|Sleep Quality::2.5,5802per night incl. tax,2 Adults 2 Kids,Room Service|Gym/Spa|Restaurant
"Near Mookambika Temple, Udupi District",Mookambika Temple,Kollur,"130km from Mangalore, amid the green canopy of the Western Ghats, lies the village of Kollur. Here, the Mookambika Temple, one of the seven most sacred spots of the coastal region is dedicated to the goddess of emotional power and strength. BEENA RESIDENCY is just 10 mts away from the Mookambika Temple.",Food &amp; Beverage:Restaurant|Basics:Air Conditioning|Doctor on Call|Travel:Parking,2 Star hotel,http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big3_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/gy_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/fhfh_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/beena-residency_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/bathroom_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big1_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big7_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big5_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big6_w.jpg|http://ui.cltpstatic.com/places/hotels/3166/316678/images/BE_big8_w.jpg,13.864747,74.813653,Beena Residency,Hotel,12 X 12 Sq.ft.,41,Air Conditioning| Television | Safe | Private Bathroom | Refrigerator,Double Room AC,Karnataka,107.0,3.0,Location::4.5|Rooms::3.0|Service::3.0|Value::3.0|Cleanliness::3.0|Sleep Quality::3.0,1400per night incl. tax,2 Adults 2 Kids,Room Service|Restaurant|Free Internet
"45/4&5, Near Kumaradhara River, Dakshina Kannada",Near Kukke Subramanya Temple,Kukke Subramanya,"Vijay Comforts, a guest oriented, quality conscious hotel is a newest addition to the temple town by Vijay group of hotels, with decades of expertise in the hospitality industry. Synergy to maintain the standards, quality and continuation of facilities syncronize to uphold the image of the group at great esteem. A centrally air-conditioned hotel, esthetically built in nepali temple architecture is strategically located near kumaradhara river en-route the main shrine. The Hotel is a perfect blend of architecture, interiors and well appointed rooms spacious rooms is a newest addition to the temple town committed to offer homely stay, quality food and personalized services. The Hotel has a specious atrium Lobby, Capsule Elevators. Rooms are tastefully done with French windows and balconies overlooking a serene atmosphere.Vijay Vihar, an exclusive vegetarian restaurant at the ground floor level serving south indian, north indian, chinese and desserts, open from 6 a.m to 10 p.m to quench your taste buds.",Travel:Travel Desk|Parking|Bus Parking|Free Parking|Transportation Service|Valet Parking|Basics:Air Conditioning|Lift|Doctor on Call,3 Star hotel,http://ui.cltpstatic.com/places/hotels/7235/723517/images/7_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/5_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/1_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/3_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/4_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/6_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/2_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/IMG_4084_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/10478210_730286763681044_9086284407580050847_n_w.jpg|http://ui.cltpstatic.com/places/hotels/7235/723517/images/1001976_710022235707497_3347364022438232270_n_w.jpg,12.674057800000002,75.6060306,Vijay Comforts The Boutique Hotel,Resort,13 X 13 Sq.ft.,100,Air Conditioning| Television | Safe | Ceiling Fan Satellite Television | Windows Open | Private Bathroom | Balcony / Sit Out Area,Deluxe Room AC,Karnataka,112.0,4.0,Location::4.5|Rooms::4.5|Service::4.0|Value::4.0|Cleanliness::4.5|Sleep Quality::4.5,4062per night incl. tax,2 Adults 2 Kids,Room Service|Swimming Pool|Restaurant|Free Internet
"Car Street, Kollur Kundapura Road, Udupi District",Mookambika Temple,Kollur,"Hotel Mookambika Palace in Kollur lures guests with its simple interiors and homely ambience. Equipped with essential amenities and comfortable rooms, this hotel offers a comfortable stay.",Basics:Internet|Air Conditioning|Lift|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Food &amp; Beverage:Restaurant|Personal Services:24 Hour Front Desk|Laundry|Room Service|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security|Business Services:Conference Hall,3 Star hotel,http://ui.cltpstatic.com/places/hotels/7263/726338/images/4_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/night_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/cori_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bed_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bed1_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bed2_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bed3_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bed4_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bath_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/bath1_w.jpg|http://ui.cltpstatic.com/places/hotels/7263/726338/images/intrance_w.jpg,13.862945000000002,74.811981,Hotel Mookambika Palace,Hotel,14 X 14 Sq.ft.,42,Air Conditioning | Hot Water | Ceiling Fan | Wake-Up Call Service | Private Bathroom,Deluxe Room,Karnataka,163.0,4.0,Location::4.5|Rooms::4.5|Service::3.5|Value::4.0|Cleanliness::4.0|Sleep Quality::4.0,2878per night incl. tax,1 Adult 2 Kids,Room Service|Free Internet
"Nh.66, Chikkansal Road , Kundapur , 576201",Kodi Beach,Kundapura,"Hotel Simon Comfort is a budget hotel which is well located at Chikkansal road in Kundapur, Karnataka and recognized by tourism board. The hotel can easily be accessed by the visiting guests because of its great connectivity with the nearby centers of transport. The hotel is about 90 kms from Bajpe airport and 2 kms from Shastri Park bus stand. The tourists visiting via train can also conveniently reach here as the Kundapura railway station is just 7 kms away from the hotel. The prominent hotel is also near to the Anne Gudde temple which is a place where the guests should give a sure visit. The location of the hotel being near to the Sastri Park bus stand serves as a biggest USP for the hotel.The hotel offers three types of rooms to its guests namely Ordinary Non AC room, Deluxe Non AC room and Deluxe AC room. The rooms provided by the budget hotel are ensured to be well organized so that the guests have a comforting stay. The various facilities provided by the include security guards, Wi-Fi Internet, conference/ banquet hall facilities, 24 hours front desk, safe in rooms and reception, AC power backup, vegetarian and non-vegetarian food and much more. The hotel also has a travel desk which solely attends to the various travel related queries of the guests. Guests residing in the hotel can also visit the nearby local markets where they can fulfill their shopping needs. The nearby Sharan restaurant and Hari Prasad restaurant serve as a source of some delicious cuisines which the guests can easily relish.",,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7431/743194/images/5_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/12_(1)_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/10_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/3_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/14_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/16_w.jpg|http://ui.cltpstatic.com/places/hotels/7431/743194/images/17_w.jpg,13.633907999999998,74.702477,Simon Comfort,Resort,200 X 100 Sq.ft.,34,Air Conditioning| Television | Wardrobe | Ceiling Fan | Private Bathroom,Deluxe Room AC,Karnataka,10.0,3.5,Location::3.5|Rooms::4.0|Service::4.0|Value::4.5|Cleanliness::4.0|Sleep Quality::3.5,979per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant
"Fort Gate Holiday Homes, Fort Gate, Near Inspection Bungalow",Kodi Beach,Kundapura,"This idyllic resort is situated on the backwaters of the Panchagangavalli river and is located in Kundapura town.A warm and welcoming luxurious resort on the coastal belt - it is surrounded by a cluster of mystical islands. This family owned and operated resort offers the finest in accommodation, amenities and services. Blue Waters is ideal for a thrilling family vacation or a relaxing gateway and home to some of the best sea food in the world. This rugged green paradise is nestled on the ridge line of a private peninsula. Here lies a place of serenity, beauty, healing and harmony. A secluded retreat where the pressures of life cease to exist and where the body, mind and spirit find nourishment. This is Blue Waters. Enjoy the sweeping views of surrounding islands and coconut groves from your guest suite, relax with a refreshing glass of wine/ice tea at the river front from our tastefully created SPICE CUBE restaurant.",Basics:Internet|Air Conditioning|Complimentary Wi-Fi access|Doctor on Call|Food &amp; Beverage:Restaurant|Lounge|Recreation:Kids Pool|Gym|Outdoor Swimming Pool|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:Courtyard,3 Star hotel,http://ui.cltpstatic.com/places/hotels/7205/720522/images/result_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/recep_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/corri_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/backwa_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/back_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/Capture_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/resto_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/dining_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/swimm_w.jpg|http://ui.cltpstatic.com/places/hotels/7205/720522/images/gym_w.jpg,13.638089,74.68862,Blue Waters,Hotel,12 X 12 Sq.ft.,0,Air Conditioning | Internet / Broadband | Private Bathroom | In-Room Menu | Free Wi-Fi,Standard Room,Karnataka,77.0,4.5,Location::5.0|Rooms::4.5|Service::4.5|Value::4.5|Cleanliness::4.5|Sleep Quality::4.5,2445per night incl. tax,2 Adults 2 Kids,Room Service|Gym/Spa|Swimming Pool|Restaurant|Free Internet
