id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
26555,VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,777,AS,IN,IN-DL,New Delhi,1,VIDP,DEL,,http://www.newdelhiairport.in/,http://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,Palam Air Force Station,51475,2017-12-15T03:08:58+00:00
26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.0886993408,72.8678970337,39,AS,IN,IN-MM,Mumbai,1,VABB,BOM,,http://www.csia.in/,http://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport",1014475,2013-04-12T01:27:48+00:00
35145,VOBL,large_airport,Kempegowda International Airport,13.1979,77.706299,3000,AS,IN,IN-KA,Bengaluru,1,VOBL,BLR,,http://www.bengaluruairport.com/home/home.jspx,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,,51200,2016-02-01T17:54:36+00:00
26618,VOMM,large_airport,Chennai International Airport,12.9900054931641,80.1692962646484,52,AS,IN,IN-TN,Chennai,1,VOMM,MAA,,,http://en.wikipedia.org/wiki/Chennai_International_Airport,,51150,2008-12-07T02:26:07+00:00
26444,VAGO,large_airport,Dabolim Airport,15.3808002472,73.8313980103,150,AS,IN,IN-GA,Vasco da Gama,1,VOGO,GOI,,,http://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, दाबोळी विमानतळ",875,2013-04-27T02:00:28+00:00
26609,VOCI,large_airport,Cochin International Airport,10.152,76.401901,30,AS,IN,IN-KL,Kochi,1,VOCI,COK,,http://www.cochin-airport.com/,http://en.wikipedia.org/wiki/Cochin_International_Airport,Cochin,1000,2017-08-14T21:46:46+00:00
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.6546993255615,88.4467010498047,16,AS,IN,IN-WB,Kolkata,1,VECC,CCU,,,http://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,"Calcutta, Kolkatta, Dum Dum Air Force Station",1200,2008-06-13T14:30:04+00:00
35141,VOHS,large_airport,Rajiv Gandhi International Airport,17.2313175201,78.4298553467,2024,AS,IN,IN-TG,Hyderabad,1,VOHS,HYD,,http://www.shamshabadairport.com/,http://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,"Shamshabad, Hyderabad",1200,2016-01-12T23:34:46+00:00
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956024,76.9200973511,15,AS,IN,IN-KL,Thiruvananthapuram,1,VOTV,TRV,,,http://en.wikipedia.org/wiki/Trivandrum_International_Airport,"Thiruvananthapuram International Airport, Trivandrum Air Force Station",1050,2015-06-07T09:22:17+00:00
26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.0771999359,72.6346969604,189,AS,IN,IN-GJ,Ahmedabad,1,VAAH,AMD,,,http://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,Gandhinagar Air Force Station,1050,2010-08-30T13:18:43+00:00
26563,VIJP,medium_airport,Jaipur International Airport,26.8242,75.812202,1263,AS,IN,IN-RJ,Jaipur,1,VIJP,JAI,,https://www.jaipurairport.com/,https://en.wikipedia.org/wiki/Jaipur_International_Airport,,1050,2018-09-15T03:40:23+00:00
26603,VOBG,medium_airport,HAL Airport,12.9499998093,77.6681976318,2912,AS,IN,IN-KA,Bengaluru,1,VOBG,,,,http://en.wikipedia.org/wiki/HAL_Bengaluru_International_Airport,"Bengaluru, Hindustan Airport, HAL Airport, Hindustan Aeronautics",1050,2010-03-16T04:45:50+00:00
26455,VAPO,medium_airport,Pune Airport,18.5820999145508,73.9197006225586,1942,AS,IN,IN-MM,Pune,1,VAPO,PNQ,,,http://en.wikipedia.org/wiki/Pune_Airport,"Lohegaon Airport, Lohegaon Air Force Station",800,2008-06-13T14:30:04+00:00
26540,VIAR,large_airport,Sri Guru Ram Dass Jee International Airport,31.7096004486,74.7973022461,756,AS,IN,IN-PB,Amritsar,1,VIAR,ATQ,,http://www.aai.aero/allAirports/amritsar_generalinfo.jsp,http://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport,Amritsar Air Force Station,1050,2015-01-21T15:57:04+00:00
26438,VABO,medium_airport,Vadodara Airport,22.336201,73.226303,129,AS,IN,IN-GJ,Vadodara,1,VABO,BDQ,,http://aai.aero/allAirports/vadodara_generalinfo.jsp,http://en.wikipedia.org/wiki/Vadodara_Airport,Civil Airport Harni,1000,2018-07-14T01:52:53+00:00
26617,VOML,medium_airport,Mangalore International Airport,12.9612998962,74.8900985718,337,AS,IN,IN-KA,Mangalore,1,VOML,IXE,,,http://en.wikipedia.org/wiki/Mangalore_International_Airport,Bajpe Airport,1025,2010-09-02T22:02:00+00:00
26615,VOHY,medium_airport,Begumpet Airport,17.4531002045,78.4675979614,1742,AS,IN,IN-TG,Hyderabad,0,VOHY,BPM,,,http://en.wikipedia.org/wiki/Begumpet_Airport,"Begumpet Air Force Station, HYD, Hyderabad Airport",475,2016-01-12T23:32:13+00:00
26545,VIBN,medium_airport,Lal Bahadur Shastri Airport,25.4524002075,82.8592987061,266,AS,IN,IN-UP,Varanasi,1,VIBN,VNS,,,http://en.wikipedia.org/wiki/Varanasi_Airport,"Babatpur Airport, Varanasi Airport",1050,2010-09-01T18:43:16+00:00
26610,VOCL,large_airport,Calicut International Airport,11.1367998123,75.9552993774,342,AS,IN,IN-KL,Calicut,1,VOCL,CCJ,,,http://en.wikipedia.org/wiki/Calicut_International_Airport,,950,2011-09-02T04:53:33+00:00
26494,VEBS,medium_airport,Biju Patnaik Airport,20.2444000244,85.8178024292,138,AS,IN,IN-OR,Bhubaneswar,1,VEBS,BBI,,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,http://en.wikipedia.org/wiki/Biju_Patnaik_Airport,,925,2010-09-07T17:37:14+00:00
26607,VOCB,medium_airport,Coimbatore International Airport,11.029999733,77.0434036255,1324,AS,IN,IN-TN,Coimbatore,1,VOCB,CJB,,http://www.airportsindia.org.in/allAirports/coimbatore_generalinfo.jsp,http://en.wikipedia.org/wiki/Coimbatore_Airport,,925,2010-09-07T19:06:09+00:00
26501,VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.1061000823975,91.5858993530273,162,AS,IN,IN-AS,Guwahati,1,VEGT,GAU,,http://aai.aero/guwahati/index.jsp,http://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,"Borjhar Airport, Mountain Shadow Air Force Station",925,2008-06-13T14:30:04+00:00
26517,VEPT,medium_airport,Lok Nayak Jayaprakash Airport,25.591299057,85.0879974365,170,AS,IN,IN-BR,Patna,1,VEPT,PAT,,http://airportsindia.org.in/allAirports/patna_techinfo.jsp,http://en.wikipedia.org/wiki/Lok_Nayak_Jayaprakash_Airport,,1050,2010-09-08T18:02:08+00:00
26446,VAID,medium_airport,Devi Ahilyabai Holkar Airport,22.7217998505,75.8011016846,1850,AS,IN,IN-MP,Indore,1,VAID,IDR,,http://aai.aero/allAirports/indore_technicalinfo.jsp,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,,975,2010-09-07T20:17:15+00:00
26562,VIJO,medium_airport,Jodhpur Airport,26.2511005401611,73.0488967895508,717,AS,IN,IN-RJ,Jodhpur,1,VIJO,JDH,,,http://en.wikipedia.org/wiki/Jodhpur_Airport,Jodhpur Air Force Station,875,2008-06-13T14:30:04+00:00
26616,VOMD,medium_airport,Madurai Airport,9.83450984955,78.0933990479,459,AS,IN,IN-TN,Madurai,1,VOMD,IXM,,http://www.airportsindia.org.in/allAirports/madurai_airpo_gi.jsp,http://en.wikipedia.org/wiki/Madurai_Airport,Madurai Air Force Station,800,2010-09-09T20:23:44+00:00
26491,VEBD,medium_airport,Bagdogra Airport,26.6812000274658,88.3285980224609,412,AS,IN,IN-WB,Siliguri,1,VEBD,IXB,,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,http://en.wikipedia.org/wiki/Bagdogra_Airport,Bagdogra Air Force Station,800,2008-06-13T14:30:04+00:00
26523,VEVZ,small_airport,Vishakhapatnam Airport,17.721200943,83.2245025635,15,AS,IN,IN-AP,Visakhapatnam,1,VOVZ,VTZ,,http://www.airportsindia.org.in/allAirports/vishakapatnam.jsp,http://en.wikipedia.org/wiki/Visakhapatnam_Airport,"VEVZ, Visakhapatnam",450,2013-04-27T10:23:44+00:00
26570,VILK,medium_airport,Chaudhary Charan Singh International Airport,26.7605991364,80.8892974854,410,AS,IN,IN-UP,Lucknow,1,VILK,LKO,,http://aai.aero/allAirports/lucknow_generalinfo.jsp,http://en.wikipedia.org/wiki/Amausi_Airport,Amausi International Airport,1050,2010-09-08T18:00:49+00:00
26550,VICG,medium_airport,Chandigarh Airport,30.6735000610352,76.7884979248047,1012,AS,IN,IN-CH,Chandigarh,1,VICG,IXC,,,http://en.wikipedia.org/wiki/Chandigarh_Airport,Chandigarh Air Force Station,800,2009-01-30T17:13:02+00:00
26461,VASU,medium_airport,Surat Airport,21.1140995026,72.7417984009,16,AS,IN,IN-GJ,,1,VASU,STV,,,,,250,2012-05-19T04:56:22+00:00
30171,VAJJ,small_airport,Juhu Aerodrome,19.0981006622314,72.8341979980469,13,AS,IN,IN-MM,Mumbai,0,VAJJ,,,http://www.airportsindia.org.in/allAirports/juhu.jsp,http://en.wikipedia.org/wiki/Juhu_Aerodrome,Bombay,50,2008-06-15T10:01:25+00:00
26620,VOPB,medium_airport,Vir Savarkar International Airport,11.6412000656128,92.7296981811523,14,AS,IN,IN-AN,Port Blair,1,VOPB,IXZ,,,http://en.wikipedia.org/wiki/Vir_Savarkar_Airport,"Port Blair Airport, Port Blair Air Force Station",800,2008-06-13T14:30:04+00:00
26459,VARP,small_airport,Raipur Airport,21.180401,81.7388,1041,AS,IN,IN-CT,Raipur,1,VERP,RPR,,http://aai.aero/allAirports/raipur_generalinfo.jsp,http://en.wikipedia.org/wiki/Raipur_Airport,Mana Airport,800,2018-05-18T02:47:52+00:00
26578,VISR,medium_airport,Sheikh ul Alam Airport,33.9870986938477,74.7742004394531,5429,AS,IN,IN-JK,Srinagar,1,VISR,SXR,,,http://en.wikipedia.org/wiki/Srinagar_Airport,Srinagar Air Force Station,800,2009-03-24T12:12:26+00:00
26453,VANP,medium_airport,Dr. Babasaheb Ambedkar International Airport,21.0921993255615,79.0472030639648,1033,AS,IN,IN-MM,Naqpur,1,VANP,NAG,,http://aai.aero/allAirports/nagpur1_generalinfo.jsp,http://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,"Sonegaon Airport, Sonegaon Air Force Station",1050,2008-06-13T14:30:04+00:00
